"run.num","symp.chol.cases.30d","chol.inc.1000.30d"
1,7,14
2,9,18
3,6,12
4,12,24
5,11,22
6,9,18
7,13,26
8,15,30
9,10,20
10,12,24
11,10,20
12,9,18
13,9,18
14,11,22
15,9,18
16,12,24
17,10,20
18,10,20
19,7,14
20,11,22
21,15,30
22,5,10
23,11,22
24,7,14
25,9,18
26,12,24
27,9,18
28,11,22
29,10,20
30,13,26
31,8,16
32,10,20
33,10,20
34,12,24
35,11,22
36,11,22
37,5,10
38,13,26
39,11,22
40,14,28
41,6,12
42,9,18
43,11,22
44,12,24
45,9,18
46,8,16
47,9,18
48,8,16
49,10,20
50,14,28
51,9,18
52,8,16
53,8,16
54,11,22
55,15,30
56,7,14
57,11,22
58,8,16
59,6,12
60,15,30
61,7,14
62,10,20
63,10,20
64,6,12
65,11,22
66,8,16
67,11,22
68,10,20
69,13,26
70,11,22
71,9,18
72,11,22
73,13,26
74,12,24
75,12,24
76,11,22
77,13,26
78,9,18
79,9,18
80,11,22
81,13,26
82,14,28
83,7,14
84,7,14
85,11,22
86,11,22
87,8,16
88,10,20
89,9,18
90,12,24
91,13,26
92,10,20
93,16,32
94,10,20
95,10,20
96,10,20
97,12,24
98,8,16
99,14,28
100,9,18
101,9,18
102,11,22
103,12,24
104,10,20
105,8,16
106,8,16
107,13,26
108,10,20
109,7,14
110,7,14
111,8,16
112,8,16
113,9,18
114,10,20
115,11,22
116,9,18
117,9,18
118,11,22
119,14,28
120,11,22
121,8,16
122,9,18
123,10,20
124,8,16
125,14,28
126,10,20
127,10,20
128,12,24
129,12,24
130,12,24
131,9,18
132,10,20
133,8,16
134,9,18
135,7,14
136,11,22
137,10,20
138,10,20
139,11,22
140,9,18
141,7,14
142,8,16
143,6,12
144,14,28
145,10,20
146,9,18
147,11,22
148,11,22
149,11,22
150,12,24
151,20,40
152,11,22
153,11,22
154,12,24
155,10,20
156,8,16
157,8,16
158,8,16
159,13,26
160,7,14
161,11,22
162,9,18
163,8,16
164,10,20
165,12,24
166,10,20
167,13,26
168,8,16
169,12,24
170,13,26
171,6,12
172,13,26
173,11,22
174,8,16
175,8,16
176,11,22
177,8,16
178,11,22
179,11,22
180,10,20
181,7,14
182,8,16
183,9,18
184,11,22
185,12,24
186,13,26
187,10,20
188,9,18
189,11,22
190,10,20
191,9,18
192,7,14
193,7,14
194,9,18
195,9,18
196,8,16
197,11,22
198,6,12
199,9,18
200,9,18
